indicator,year,raw_value,value,municipality_code,municipality_name,district_code,district_name,section_code,section_name
Fuente de ingreso: pensiones,2020,4.498,4498.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: pensiones,2019,4.192,4192.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: pensiones,2018,4.134,4134.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: pensiones,2017,3.893,3893.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: pensiones,2016,4.324,4324.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: prestaciones por desempleo,2022,230,230.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: prestaciones por desempleo,2021,394,394.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: prestaciones por desempleo,2020,644,644.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: prestaciones por desempleo,2019,253,253.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: prestaciones por desempleo,2018,210,210.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: prestaciones por desempleo,2017,231,231.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: prestaciones por desempleo,2016,221,221.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otras prestaciones,2022,777,777.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otras prestaciones,2021,730,730.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otras prestaciones,2020,637,637.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otras prestaciones,2019,687,687.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otras prestaciones,2018,705,705.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otras prestaciones,2017,615,615.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otras prestaciones,2016,620,620.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otros ingresos,2022,851,851.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otros ingresos,2021,902,902.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otros ingresos,2020,686,686.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otros ingresos,2019,767,767.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otros ingresos,2018,737,737.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otros ingresos,2017,732,732.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: otros ingresos,2016,720,720.0,28079,Madrid,2807912,Madrid distrito 12,2807912006,Madrid sección 12006
Fuente de ingreso: salario,2022,9.506,9506.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: salario,2021,8.786,8786.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: salario,2020,7.853,7853.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: salario,2019,8.155,8155.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: salario,2018,7.847,7847.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: salario,2017,7.658,7658.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: salario,2016,7.428,7428.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: pensiones,2022,4.068,4068.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: pensiones,2021,3.846,3846.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: pensiones,2020,4.117,4117.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
Fuente de ingreso: pensiones,2019,4.085,4085.0,28079,Madrid,2807912,Madrid distrito 12,2807912007,Madrid sección 12007
