year,month,magnitude,value,normalized,year-month
2002,10,Hidrocarburos totales (hexano),1.399354839,0.9748314607,2002-10
2002,10,Metano,1.261612903,0.9736121484,2002-10
2002,10,Monóxido de Carbono,0.6105990783,0.5528607938,2002-10
2002,10,Monóxido de Nitrógeno,47.77419355,0.6069464841,2002-10
2002,10,Óxidos de Nitrógeno,127.7096774,0.7311397704,2002-10
2002,10,Ozono,23.38172043,1.192160088,2002-10
2002,10,Partículas < 10 µm,25.60645161,0.8834724541,2002-10
2002,10,Tolueno,5.632258065,0.5548141087,2002-10
2002,11,Benceno,1.032258065,0.3545706371,2002-11
2002,11,Dióxido de Azufre,10.88530466,0.4833678179,2002-11
2002,11,Dióxido de Nitrógeno,51.90860215,0.9608877389,2002-11
2002,11,Etilbenceno,1.161290323,0.3389830508,2002-11
2002,11,Hidrocarburos no metánicos (hexano),0.125483871,0.8840909091,2002-11
2002,11,Hidrocarburos totales (hexano),0.9522580645,0.6633707865,2002-11
2002,11,Metano,0.8283870968,0.6392830471,2002-11
2002,11,Monóxido de Carbono,0.6330645161,0.5732018985,2002-11
2002,11,Monóxido de Nitrógeno,50.08333333,0.6362829138,2002-11
2002,11,Óxidos de Nitrógeno,128.6827957,0.7367108868,2002-11
2002,11,Ozono,19.58986175,0.998825188,2002-11
2002,11,Partículas < 10 µm,23.61290323,0.8146911519,2002-11
2002,11,Tolueno,4.658064516,0.4588496981,2002-11
2002,12,Benceno,1.464516129,0.5030470914,2002-12
2002,12,Dióxido de Azufre,14.94265233,0.6635365271,2002-12
2002,12,Dióxido de Nitrógeno,55.55376344,1.028363854,2002-12
2002,12,Etilbenceno,1.503225806,0.4387947269,2002-12
2002,12,Hidrocarburos no metánicos (hexano),0.2409677419,1.697727273,2002-12
2002,12,Hidrocarburos totales (hexano),1.511774194,1.053146067,2002-12
2002,12,Metano,1.273064516,0.9824495892,2002-12
2002,12,Monóxido de Carbono,0.7991935484,0.7236217598,2002-12
2002,12,Monóxido de Nitrógeno,66.51344086,0.8450189543,2002-12
2002,12,Óxidos de Nitrógeno,157.561828,0.9020437687,2002-12
2002,12,Ozono,20.06451613,1.023026316,2002-12
2002,12,Partículas < 10 µm,26.87096774,0.9271007234,2002-12
2002,12,Tolueno,6.290322581,0.6196377502,2002-12
2003,1,Benceno,1.525806452,0.524099723,2003-1
2003,1,Dióxido de Azufre,17.64516129,0.7835428935,2003-1
2003,1,Dióxido de Nitrógeno,56.617866,1.048061612,2003-1
2003,1,Etilbenceno,1.264516129,0.3691148776,2003-1
2003,1,Hidrocarburos no metánicos (hexano),0.1770967742,1.247727273,2003-1
2003,1,Hidrocarburos totales (hexano),1.414623656,0.9854681648,2003-1
2003,1,Metano,1.239892473,0.9568500539,2003-1
2003,1,Monóxido de Carbono,0.8564516129,0.7754654984,2003-1
2003,1,Monóxido de Nitrógeno,62.78908189,0.7977028948,2003-1
2003,1,Óxidos de Nitrógeno,152.8858561,0.8752737613,2003-1
2003,1,Ozono,25.26267281,1.28806391,2003-1
2003,1,Partículas < 10 µm,24.47849462,0.844555741,2003-1
2003,1,Partículas < 2.5 µm,14.46774194,#N/A,2003-1
2003,1,Tolueno,4.609677419,0.4540832539,2003-1
2003,2,Benceno,1.05483871,0.3623268698,2003-2
2003,2,Dióxido de Azufre,14.32616487,0.6361610696,2003-2
2003,2,Dióxido de Nitrógeno,50.41687345,0.9332741303,2003-2
2003,2,Etilbenceno,0.8806451613,0.2570621469,2003-2
2003,2,Hidrocarburos no metánicos (hexano),0.09774193548,0.6886363636,2003-2
2003,2,Hidrocarburos totales (hexano),1.193548387,0.8314606742,2003-2
2003,2,Metano,1.098924731,0.8480624015,2003-2
2003,2,Monóxido de Carbono,0.6887096774,0.6235852501,2003-2
2003,2,Monóxido de Nitrógeno,44.66501241,0.5674459416,2003-2
2003,2,Óxidos de Nitrógeno,118.866005,0.6805096163,2003-2
2003,2,Ozono,23.17050691,1.181390977,2003-2
2003,2,Partículas < 10 µm,19.77419355,0.6822481914,2003-2
2003,2,Partículas < 2.5 µm,13.09677419,#N/A,2003-2
2003,2,Tolueno,3.696774194,0.3641563394,2003-2
2003,3,Benceno,1.3,0.4465373961,2003-3
2003,3,Dióxido de Azufre,13.03225806,0.5787044406,2003-3
2003,3,Dióxido de Nitrógeno,53.8808933,0.9973971093,2003-3
2003,3,Etilbenceno,1.251612903,0.3653483992,2003-3
2003,3,Hidrocarburos no metánicos (hexano),0.1098924731,0.7742424242,2003-3
2003,3,Hidrocarburos totales (hexano),1.367419355,0.9525842697,2003-3
2003,3,Metano,1.26,0.9723674384,2003-3
2003,3,Monóxido de Carbono,0.6903225806,0.6250456371,2003-3
2003,3,Monóxido de Nitrógeno,43.65756824,0.5546468831,2003-3
2003,3,Óxidos de Nitrógeno,120.8138958,0.6916613197,2003-3
2003,3,Ozono,37.85714286,1.930216165,2003-3
2003,3,Partículas < 10 µm,36.15591398,1.247449453,2003-3
2003,3,Partículas < 2.5 µm,18.30645161,#N/A,2003-3
2003,3,Tolueno,5.616129032,0.5532252939,2003-3
2003,4,Benceno,0.6387096774,0.2193905817,2003-4
2003,4,Dióxido de Azufre,8.358422939,0.3711602738,2003-4
2003,4,Dióxido de Nitrógeno,42.57568238,0.7881246938,2003-4
2003,4,Etilbenceno,0.6935483871,0.2024482109,2003-4
2003,4,Hidrocarburos no metánicos (hexano),0.07322580645,0.5159090909,2003-4
2003,4,Hidrocarburos totales (hexano),1.283870968,0.8943820225,2003-4
2003,4,Metano,1.213978495,0.9368517136,2003-4
2003,4,Monóxido de Carbono,0.4971774194,0.4501642935,2003-4
2003,4,Monóxido de Nitrógeno,22,0.279498651,2003-4
2003,4,Óxidos de Nitrógeno,76.30769231,0.4368626541,2003-4
2003,4,Ozono,49.96313364,2.547462406,2003-4
2003,4,Partículas < 10 µm,25.46236559,0.8785012057,2003-4
2003,4,Partículas < 2.5 µm,12.35483871,#N/A,2003-4
2003,4,Tolueno,2.4,0.2364156339,2003-4
2003,5,Benceno,0.6306451613,0.2166204986,2003-5
2003,5,Dióxido de Azufre,7.630824373,0.3388508674,2003-5
2003,5,Dióxido de Nitrógeno,45.06451613,0.8341958599,2003-5
2003,5,Etilbenceno,0.7612903226,0.2222222222,2003-5
2003,5,Hidrocarburos no metánicos (hexano),0.07913978495,0.5575757576,2003-5
2003,5,Hidrocarburos totales (hexano),1.321290323,0.9204494382,2003-5
2003,5,Metano,1.244516129,0.9604182226,2003-5
2003,5,Monóxido de Carbono,0.4596774194,0.4162102957,2003-5
2003,5,Monóxido de Nitrógeno,23.08436725,0.2932749775,2003-5
2003,5,Óxidos de Nitrógeno,80.41439206,0.4603735702,2003-5
2003,5,Ozono,54.14746544,2.760808271,2003-5
2003,5,Partículas < 10 µm,32.00537634,1.10424782,2003-5
2003,5,Partículas < 2.5 µm,15.16129032,#N/A,2003-5
2003,5,Tolueno,3.817741935,0.37607245,2003-5
2003,6,Benceno,1.043548387,0.3584487535,2003-6
2003,6,Dióxido de Azufre,7.759856631,0.3445806144,2003-6
2003,6,Dióxido de Nitrógeno,45.83126551,0.84838927,2003-6
2003,6,Etilbenceno,1.233870968,0.3601694915,2003-6
2003,6,Hidrocarburos no metánicos (hexano),0.0788172043,0.5553030303,2003-6
2003,6,Hidrocarburos totales (hexano),1.230860215,0.8574531835,2003-6
2003,6,Metano,1.155376344,0.8916272509,2003-6
2003,6,Monóxido de Carbono,0.4262096774,0.3859072654,2003-6
2003,6,Monóxido de Nitrógeno,21.06699752,0.2676453358,2003-6
2003,6,Óxidos de Nitrógeno,78.16873449,0.4475171478,2003-6
2003,6,Ozono,56.61290323,2.886513158,2003-6
2003,6,Partículas < 10 µm,44.11290323,1.52198108,2003-6
2003,6,Partículas < 2.5 µm,21.0483871,#N/A,2003-6
2003,6,Tolueno,6.146774194,0.605497299,2003-6
2003,7,Benceno,0.85,0.291966759,2003-7
2003,7,Dióxido de Azufre,8.430107527,0.3743434665,2003-7
2003,7,Dióxido de Nitrógeno,50.00248139,0.9256032582,2003-7
2003,7,Etilbenceno,1.177419355,0.3436911488,2003-7
2003,7,Hidrocarburos no metánicos (hexano),0.1006451613,0.7090909091,2003-7
2003,7,Hidrocarburos totales (hexano),1.285806452,0.8957303371,2003-7
2003,7,Metano,1.187419355,0.9163554892,2003-7
2003,7,Monóxido de Carbono,0.4286290323,0.3880978459,2003-7
2003,7,Monóxido de Nitrógeno,23.3573201,0.2967427027,2003-7
2003,7,Óxidos de Nitrógeno,85.86104218,0.4915557218,2003-7
2003,7,Ozono,58.44700461,2.980028195,2003-7
2003,7,Partículas < 10 µm,37.2688172,1.285846782,2003-7
2003,7,Partículas < 2.5 µm,15.74193548,#N/A,2003-7
2003,7,Tolueno,5.511290323,0.5428979981,2003-7
2003,8,Benceno,0.6241935484,0.2144044321,2003-8
2003,8,Dióxido de Azufre,8.709677419,0.3867579182,2003-8
2003,8,Dióxido de Nitrógeno,46.70471464,0.8645578148,2003-8
2003,8,Etilbenceno,0.8935483871,0.2608286252,2003-8
2003,8,Hidrocarburos no metánicos (hexano),0.09483870968,0.6681818182,2003-8
2003,8,Hidrocarburos totales (hexano),1.340752688,0.9340074906,2003-8
2003,8,Metano,1.248602151,0.9635714878,2003-8
2003,8,Monóxido de Carbono,0.4064516129,0.3680175246,2003-8
